%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1765344924532559542,0.2,0.0,0.0,0.0,0.0,0.25100629283907305
1765344924734812049,0.2,0.0,0.0,0.0,0.0,0.26691382772010463
1765344924933736011,0.19836189445990118,0.0,0.0,0.0,0.0,0.26399339274632994
1765344925130755300,0.2,0.0,0.0,0.0,0.0,0.26276978044981975
1765344925336770995,0.2,0.0,0.0,0.0,0.0,0.24919987783566092
1765344925532880956,0.2,0.0,0.0,0.0,0.0,0.27429486481730864
1765344925737216847,0.2,0.0,0.0,0.0,0.0,0.25249461509180765
1765344925932425381,0.18391242487679865,0.0,0.0,0.0,0.0,0.28479928351104955
1765344926138836265,0.2,0.0,0.0,0.0,0.0,0.27062591629524785
1765344926337524305,0.17539527820632203,0.0,0.0,0.0,0.0,0.3
1765344926536804703,0.18868352763289847,0.0,0.0,0.0,0.0,0.3
1765344926739387478,0.2,0.0,0.0,0.0,0.0,0.2706377285187711
1765344926950411766,0.138829460547763,0.0,0.0,0.0,0.0,0.2810242180590071
1765344927138640168,-0.03898373913792006,0.0,0.0,0.0,0.0,0.29068057658513713
1765344927341449979,-0.16550139726502405,0.0,0.0,0.0,0.0,0.3
1765344927549202014,-0.16217979357449794,0.0,0.0,0.0,0.0,0.3
1765344927740572897,-0.143745240661041,0.0,0.0,0.0,0.0,0.2755970500246704
1765344927935969440,-0.15977203539703455,0.0,0.0,0.0,0.0,0.3
1765344928145024885,-0.12325111246501612,0.0,0.0,0.0,0.0,0.3
1765344928357032830,-0.2,0.0,0.0,0.0,0.0,0.184326365830557
1765344928547704302,-0.14835526959233872,0.0,0.0,0.0,0.0,0.3
1765344928763015850,-0.2,0.0,0.0,0.0,0.0,0.28640782036015183
1765344928955604666,-0.2,0.0,0.0,0.0,0.0,0.3
1765344929145875307,-0.2,0.0,0.0,0.0,0.0,0.3
1765344929366922746,-0.2,0.0,0.0,0.0,0.0,0.23201150091691775
1765344929546839869,-0.2,0.0,0.0,0.0,0.0,0.3
1765344929739256592,0.05570399144404018,0.0,0.0,0.0,0.0,0.2910645032808564
1765344929943600124,0.132506880944307,0.0,0.0,0.0,0.0,0.3
1765344930141922351,0.2,0.0,0.0,0.0,0.0,0.2704719642186455
1765344930358797309,0.15489231719695093,0.0,0.0,0.0,0.0,0.2697597800235616
1765344930537019980,-0.06738919711246076,0.0,0.0,0.0,0.0,0.3
1765344930737681330,-0.1434367660329332,0.0,0.0,0.0,0.0,0.3
1765344930939781169,-0.15678124681535385,0.0,0.0,0.0,0.0,0.3
1765344931137372879,-0.1843366531763492,0.0,0.0,0.0,0.0,0.29518332947807574
1765344931345804003,-0.14868441651850348,0.0,0.0,0.0,0.0,0.3
1765344931543999213,-0.1598939371497893,0.0,0.0,0.0,0.0,0.3
1765344931739818215,0.16766613523080726,0.0,0.0,0.0,0.0,0.3
1765344931935802867,0.2,0.0,0.0,0.0,0.0,0.3
1765344932139175155,0.2,0.0,0.0,0.0,0.0,0.28142758561299686
1765344932339873892,0.2,0.0,0.0,0.0,0.0,0.3
1765344932543556100,0.1651331386169294,0.0,0.0,0.0,0.0,0.29702385345391613
1765344932762965623,0.15301774377130514,0.0,0.0,0.0,0.0,0.3
1765344932945616148,0.157926578659578,0.0,0.0,0.0,0.0,0.28938486460958196
1765344933146804989,0.13213732784417018,0.0,0.0,0.0,0.0,0.3
1765344933350698542,0.2,0.0,0.0,0.0,0.0,0.25957474146002746
1765344933545782116,-0.09264799540679851,0.0,0.0,0.0,0.0,0.2604263254309418
1765344933751352271,-0.14511013203012202,0.0,0.0,0.0,0.0,0.3
1765344933958150960,-0.2,0.0,0.0,0.0,0.0,0.3
1765344934145610172,-0.2,0.0,0.0,0.0,0.0,0.3
1765344934345003693,-0.2,0.0,0.0,0.0,0.0,0.3
1765344934556359232,-0.2,0.0,0.0,0.0,0.0,0.3
1765344934744686458,-0.18378409416802835,0.0,0.0,0.0,0.0,0.28157699049814905
1765344934950818321,-0.19866121827689395,0.0,0.0,0.0,0.0,0.3
1765344935149140490,-0.1538349593316979,0.0,0.0,0.0,0.0,0.3
1765344935364071945,0.07111006905820831,0.0,0.0,0.0,0.0,0.3
1765344935545175135,0.16313725418418956,0.0,0.0,0.0,0.0,0.3
1765344935744565728,0.2,0.0,0.0,0.0,0.0,0.3
1765344935948076788,0.1506404281178513,0.0,0.0,0.0,0.0,0.3
1765344936140518634,0.08935960498586505,0.0,0.0,0.0,0.0,0.3
1765344936355758723,0.015766966357385673,0.0,0.0,0.0,0.0,0.3
1765344936538535189,-0.04495387654620034,0.0,0.0,0.0,0.0,0.3
1765344936738537545,-0.13902983505924857,0.0,0.0,0.0,0.0,0.3
1765344936950650670,-0.14052553625918665,0.0,0.0,0.0,0.0,0.3
1765344937139054125,-0.11080084384548253,0.0,0.0,0.0,0.0,0.3
1765344937337816015,0.1149922329830051,0.0,0.0,0.0,0.0,0.3
1765344937535629988,0.1500882831805029,0.0,0.0,0.0,0.0,0.3
1765344937736869513,0.15876095599004028,0.0,0.0,0.0,0.0,0.3
1765344937934755549,0.12458269055346552,0.0,0.0,0.0,0.0,0.3
1765344938143388381,0.13718854436586916,0.0,0.0,0.0,0.0,0.3
1765344938334153394,0.051129271489969916,0.0,0.0,0.0,0.0,0.3
1765344938534972583,0.07127588201174812,0.0,0.0,0.0,0.0,0.3
1765344938733442442,0.01760114326391635,0.0,0.0,0.0,0.0,0.3
1765344938921517300,0.0,0.0,0.0,0.0,0.0,0.0
