%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1765344902076789220,11,1765344901940202000,map,-0.4711350990013003,3.7419933200786732,0.0,0.0,0.0,0.20854040407764265,0.9780137523916183,0.07438842417797065,0.04111554317059696,0.0,0.0,0.0,0.0,0.04111554317059696,0.036526424154589066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01959984728756463
1765344902316123691,12,1765344902179938000,map,-0.4459924802882671,3.745392071892755,0.0,0.0,0.0,0.21754487876986006,0.9760503192566492,0.06608693488426345,0.03806398451028503,0.0,0.0,0.0,0.0,0.03806398451028503,0.03219263006367434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01775346560725473
1765344902552826669,13,1765344902419994000,map,-0.40889702833860114,3.760108647752978,0.0,0.0,0.0,0.2253155288089767,0.9742858474172409,0.05958855281477807,0.034328598575078084,0.0,0.0,0.0,0.0,0.034328598575078084,0.028893691814655398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016660863885975614
1765344902800298141,14,1765344902660230000,map,-0.36230485164587556,3.7817139002158497,0.0,0.0,0.0,0.23394363115009736,0.9722501619667169,0.054008455402185546,0.031452328074252245,0.0,0.0,0.0,0.0,0.031452328074252245,0.02711048391784132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014436439676263702
1765344903037883822,15,1765344902900232000,map,-0.3149203354605849,3.8138844800355756,0.0,0.0,0.0,0.2419545624376159,0.9702875809344474,0.046878493938999816,0.027447864400723,0.0,0.0,0.0,0.0,0.027447864400723,0.024721898372501272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013356365784656956
1765344903292691984,16,1765344903139808000,map,-0.28097341976264867,3.8348234222179247,0.0,0.0,0.0,0.24925493670639526,0.968437905354541,0.044737175719533714,0.026875386734021012,0.0,0.0,0.0,0.0,0.026875386734021012,0.022885863096165693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011586022639092482
1765344903524525662,17,1765344903379554000,map,-0.25547236089499453,3.850258547595137,0.0,0.0,0.0,0.25580588202156884,0.9667281679578635,0.04255219010953472,0.02601638151993213,0.0,0.0,0.0,0.0,0.02601638151993213,0.020943743740026832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012202261855992455
1765344903770332036,18,1765344903619032000,map,-0.22209253895748546,3.8727820984873116,0.0,0.0,0.0,0.26309238480590946,0.9647706447944709,0.03915537285374709,0.024544886306181013,0.0,0.0,0.0,0.0,0.024544886306181124,0.01891215396758028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012878711383618527
1765344903997052762,19,1765344903859354000,map,-0.20972266003722964,3.909328533026015,0.0,0.0,0.0,0.2790714445348143,0.9602703415420326,0.03503881639631887,0.02189673654569879,0.0,0.0,0.0,0.0,0.02189673654569879,0.01736972516809132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012785335056989632
1765344904233198534,20,1765344904099373000,map,-0.17116077679474256,3.9431692377347622,0.0,0.0,0.0,0.2902111517512953,0.9569626363652798,0.027823554321260463,0.017610666118034857,0.0,0.0,0.0,0.0,0.017610666118034857,0.01516631170684235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014354707610439728
